GeneID 28cell1pro 28cell2pro 28cell3pro blastula2pro blastula3pro dlarv1pro dlarv2pro dlarv3pro gastrula1pro gastrula2pro gastrula3pro morula1pro morula2pro ovo1pro ovo2pro spat1pro spat2pro spat3pro troc1pro troc2pro
CGI_10007327 6 4 4 1 1 1 1 2 4 2 2 2 3 3 0 0 1 0 3 1
CGI_10007328 3 14 7 11 9 15 16 14 19 36 20 17 19 18 4 41 23 33 31 15
CGI_10007329 1 5 2 8 8 9 10 6 5 9 10 8 7 10 0 2 8 1 8 4
CGI_10007337 7 1 5 3 2 5 4 4 0 4 1 1 0 2 0 3 3 7 8 2
CGI_10007341 1 2 2 5 1 0 1 0 2 4 1 0 0 4 1 0 0 0 0 4
CGI_10007342 5 6 2 3 3 5 3 4 3 6 5 4 3 4 0 2 3 0 5 1
CGI_10007343 7 4 9 3 14 16 12 9 11 30 25 15 17 20 2 2 0 3 26 13
CGI_10007344 0 0 2 1 0 5 0 0 0 0 1 1 4 0 0 3 0 0 1 0
CGI_10007346 1 2 2 3 0 0 0 1 2 5 1 2 0 3 1 0 1 0 3 2
CGI_10007347 1 8 6 2 8 3 7 2 5 8 5 4 10 10 0 1 5 0 5 8
CGI_10007357 1 5 5 2 2 4 4 3 4 9 5 11 7 2 0 1 7 2 13 12
CGI_10007359 13 19 12 15 18 24 25 10 13 28 18 16 26 12 0 81 49 76 43 17
CGI_10007360 1 1 0 3 1 2 6 0 2 4 6 1 1 0 0 0 1 1 14 1
CGI_10007363 2 4 3 6 1 1 2 0 1 5 4 2 2 2 0 1 2 0 5 2
CGI_10007366 2 4 3 5 2 3 6 5 7 13 10 2 6 3 0 0 0 0 8 2
CGI_10007371 7 14 10 12 10 20 24 12 19 27 12 24 17 14 4 1 3 4 28 24
CGI_10007372 50 27 74 19 24 36 42 29 32 40 61 44 38 20 14 84 64 85 96 41
CGI_10007374 0 0 3 2 0 0 0 2 0 2 1 1 0 5 1 0 2 3 3 1
CGI_10007391 5 7 12 3 10 3 7 3 6 10 8 5 16 7 0 24 4 10 12 10
CGI_10007393 0 7 3 3 1 14 11 5 6 6 5 12 1 2 0 3 2 1 12 2
CGI_10007397 0 0 1 0 3 2 0 0 0 6 4 1 0 1 0 0 1 0 2 0
CGI_10007399 78 57 119 39 49 92 103 71 81 78 87 88 80 55 14 153 145 204 173 101
CGI_10007400 20 27 14 33 31 52 50 40 55 73 68 70 51 35 7 74 70 73 112 64
CGI_10007401 11 4 20 13 14 15 19 10 24 30 29 20 26 23 6 26 14 26 36 19
CGI_10007407 3 4 2 3 3 6 3 1 11 5 6 6 8 10 0 2 0 1 14 3
CGI_10007419 0 0 1 2 3 0 1 0 0 1 1 4 5 3 0 0 0 0 2 1
CGI_10007420 2 3 1 0 3 3 0 2 2 2 0 5 3 3 1 1 5 1 1 3
CGI_10007427 1 0 0 4 0 9 6 7 2 2 0 15 2 4 1 22 23 4 10 1
CGI_10007435 1 10 0 1 3 6 1 3 5 3 2 2 4 6 1 0 1 0 5 1
CGI_10007438 0 2 1 0 1 1 3 3 0 3 6 7 3 1 0 1 0 0 8 2
CGI_10007439 32 24 38 36 29 67 55 31 50 81 61 81 36 32 5 191 132 166 115 60
CGI_10007440 7 13 15 15 11 15 16 13 13 37 22 12 16 27 3 2 3 2 24 9
CGI_10007449 0 2 2 1 3 1 4 0 2 2 0 0 1 3 1 8 6 3 9 0
CGI_10007450 9 14 1 9 12 22 28 27 19 22 20 33 18 11 1 5 6 4 40 27
CGI_10007455 14 10 6 21 23 46 36 22 27 64 52 36 41 13 4 145 101 117 98 50
CGI_10007456 8 6 2 4 4 3 5 3 4 4 5 0 10 12 0 0 0 0 4 3
CGI_10007463 2 5 5 5 6 13 9 4 2 14 7 10 12 3 0 5 2 4 10 5
CGI_10007466 3 0 8 1 0 1 0 0 0 0 2 1 0 3 1 0 0 0 2 0
CGI_10007470 16 17 18 6 18 7 6 7 12 35 47 18 28 12 0 7 8 8 28 30
CGI_10007480 82 8 105 14 27 27 25 21 29 25 32 34 19 25 11 104 104 106 50 29
CGI_10007481 10 8 11 18 16 28 17 16 21 19 20 28 17 8 1 21 12 9 59 24
CGI_10007482 3 8 0 2 7 4 9 4 8 22 17 6 9 9 2 7 4 2 17 12
CGI_10007483 5 1 5 7 8 2 9 5 9 17 9 6 13 4 0 1 2 1 11 7
CGI_10007484 3 12 1 3 9 4 8 1 0 4 4 6 2 0 0 2 0 3 15 8
CGI_10007485 13 11 3 12 8 7 16 7 6 31 18 17 21 16 0 1 0 1 24 13
CGI_10007486 14 15 1 7 7 23 13 4 15 20 21 8 20 22 10 18 16 21 21 10
CGI_10007487 5 31 14 24 16 33 50 30 30 67 69 50 25 16 3 56 47 56 79 35
CGI_10007488 6 0 0 1 1 3 1 2 1 4 5 1 2 2 0 1 0 0 6 2
CGI_10007507 1 4 4 1 1 3 2 1 2 6 1 1 5 5 0 0 0 1 2 0
CGI_10007508 14 11 7 18 14 25 22 15 20 40 28 25 25 26 7 83 56 85 54 20
CGI_10007516 35 38 38 38 49 44 52 24 42 73 67 51 49 46 14 60 57 68 103 53
CGI_10007518 24 25 48 26 32 40 53 38 44 53 72 50 49 57 7 60 52 57 102 58
CGI_10007524 1 1 2 0 0 0 4 1 1 0 2 0 0 2 1 0 0 0 3 3
CGI_10007527 2 5 6 14 9 27 15 19 5 27 23 27 18 18 5 53 50 59 38 19
CGI_10007528 2 6 1 2 0 1 1 1 0 2 3 1 1 3 0 1 4 2 3 0
CGI_10007539 0 1 0 0 0 4 7 7 5 0 4 7 0 0 0 0 0 0 11 1
CGI_10007544 21 27 13 15 18 16 27 22 23 46 47 19 24 24 3 4 5 0 45 15
CGI_10007546 6 8 6 3 9 11 11 11 8 21 16 18 12 11 2 4 3 5 21 7
CGI_10007547 2 7 1 1 2 3 8 3 1 12 9 6 1 4 0 2 0 0 5 5
CGI_10007548 0 1 3 2 2 3 3 0 2 7 6 2 0 7 0 0 0 0 6 0
CGI_10007550 29 24 14 17 18 31 34 20 24 39 49 42 37 23 4 32 30 43 61 24
CGI_10007554 0 1 1 0 3 2 0 0 1 3 5 0 2 5 5 1 3 0 1 0
CGI_10007555 3 5 3 0 2 2 2 2 4 11 11 6 0 1 0 0 2 1 7 1
CGI_10007557 30 15 34 12 12 42 28 17 26 62 60 34 20 15 6 70 27 94 88 49
CGI_10007558 0 0 0 1 3 0 0 0 0 0 1 1 0 0 1 0 0 0 1 3
CGI_10007560 1 5 7 5 8 6 7 3 7 15 22 4 3 15 3 5 2 4 8 2
CGI_10007568 0 0 2 1 1 1 2 1 0 4 3 4 1 0 0 4 3 7 2 1
CGI_10007570 31 32 38 37 39 58 63 44 49 69 74 61 56 43 8 29 30 23 124 59
CGI_10007572 5 0 5 0 2 1 1 1 1 1 0 1 0 0 2 0 0 0 0 0
CGI_10007575 4 11 11 13 8 28 18 8 15 28 32 25 10 21 5 1 1 3 55 27
CGI_10007576 4 7 4 7 7 5 15 3 8 6 18 3 8 9 3 15 14 16 20 3
CGI_10007577 0 4 4 2 1 1 6 1 4 6 4 1 6 1 0 0 0 1 6 0
CGI_10007578 12 21 16 17 18 36 38 28 39 48 52 35 38 27 1 29 34 30 48 39
CGI_10007579 12 22 17 21 28 43 40 27 47 73 64 43 40 36 5 58 33 41 104 40
CGI_10007582 1 3 1 11 5 7 11 9 9 9 14 21 15 14 0 0 0 0 21 9
CGI_10007585 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 9 11 2 0
CGI_10007598 0 0 0 0 1 1 4 4 0 3 2 2 0 0 0 0 2 0 2 0
CGI_10007606 4 7 13 7 6 5 10 4 11 14 17 8 11 10 0 0 0 0 9 5
CGI_10007625 1 1 2 3 0 3 1 1 3 6 2 0 5 0 0 0 0 0 5 2
CGI_10007631 7 2 6 1 7 0 4 3 5 3 10 6 12 2 0 8 6 4 14 9
CGI_10007632 15 11 7 13 14 15 14 18 17 23 20 26 25 21 1 0 1 1 26 21
CGI_10007644 2 3 2 1 1 1 9 5 2 2 2 11 8 11 1 0 0 0 13 9
CGI_10007652 4 0 0 1 6 2 5 4 4 6 10 3 5 1 0 0 0 0 8 1
CGI_10007654 43 6 53 6 12 5 3 4 11 5 5 16 10 12 2 7 16 19 17 12
CGI_10007660 0 2 0 18 6 6 5 9 5 7 10 11 6 0 0 3 0 9 10 16
CGI_10007663 169 65 258 49 64 83 64 36 64 108 84 81 65 42 13 154 133 159 146 92
CGI_10007665 2 0 0 4 0 0 1 1 2 3 2 4 1 0 0 3 0 2 3 1
CGI_10007670 4 2 6 0 0 2 1 0 1 0 0 0 0 0 3 1 0 0 1 0
CGI_10007676 2 5 9 6 8 4 4 4 11 15 4 5 10 10 0 6 0 5 12 10
CGI_10007679 12 7 26 4 6 8 4 4 10 19 10 0 5 6 0 29 13 25 18 9
CGI_10007680 74 46 115 39 51 130 92 51 79 120 108 111 68 51 8 270 215 281 201 132
CGI_10007681 5 24 9 15 12 3 15 10 31 34 41 16 17 7 1 16 10 23 33 12
CGI_10007691 11 11 8 12 7 20 14 18 13 28 12 25 23 13 7 15 9 11 42 10
CGI_10007694 1 4 8 0 1 1 0 0 2 0 0 1 0 2 5 1 1 0 1 2
CGI_10007701 5 26 16 10 21 22 27 14 27 31 39 33 32 21 3 5 5 3 46 26
CGI_10007705 3 4 0 1 0 1 1 1 0 2 1 3 1 5 0 0 0 0 1 1
CGI_10007708 6 7 0 1 7 9 8 5 6 6 11 11 5 7 0 4 1 1 16 12
CGI_10007709 5 11 1 7 8 8 13 5 9 20 13 4 9 9 1 0 0 0 15 6
CGI_10007712 3 4 1 2 4 5 5 3 6 4 2 4 1 2 0 0 0 0 3 6
CGI_10007716 5 18 8 7 8 9 13 8 9 20 23 11 16 9 4 0 4 0 23 13
CGI_10007719 3 0 3 8 1 5 0 0 3 2 2 1 0 1 0 0 0 0 5 2
CGI_10007720 7 21 1 3 4 3 5 3 8 16 22 7 10 6 0 2 1 3 18 12
CGI_10007721 7 4 16 5 2 2 1 1 2 6 6 4 7 1 3 8 9 16 7 5
CGI_10007726 12 24 9 21 23 54 43 37 39 59 60 52 38 31 10 14 3 15 116 52
CGI_10007728 1 5 6 3 8 0 1 1 6 7 5 5 0 6 0 2 2 0 9 3
CGI_10007729 3 5 4 9 5 5 7 3 8 9 5 7 7 7 2 1 0 0 13 5
CGI_10007730 0 3 0 1 1 8 10 6 8 14 10 14 6 7 5 8 7 2 16 9
CGI_10007731 3 1 3 0 1 7 3 3 9 11 7 8 2 10 4 5 4 6 18 3
CGI_10007737 9 8 8 4 5 9 7 6 13 16 13 8 10 20 0 0 0 0 13 4
CGI_10007738 0 1 2 4 3 0 0 1 1 1 4 2 0 0 0 0 0 0 3 0
CGI_10007740 1 2 0 3 5 3 4 5 6 3 12 4 3 7 0 0 0 0 12 2
CGI_10007742 11 13 19 14 22 20 23 14 24 31 32 30 22 15 2 2 9 4 36 28
CGI_10007749 197 57 193 69 36 32 23 24 52 87 95 39 49 123 34 50 20 29 105 53
CGI_10007750 0 1 2 0 2 1 6 1 1 4 1 3 8 0 0 0 1 2 4 4
CGI_10007760 7 2 2 5 3 3 6 2 11 8 3 0 5 7 0 0 0 0 8 4
CGI_10007761 10 17 5 18 16 16 20 13 19 44 24 27 22 26 3 2 0 0 41 8
CGI_10007762 19 28 17 31 41 62 65 40 47 78 55 86 69 19 4 37 34 33 128 74
CGI_10007770 13 40 16 33 29 68 57 42 42 57 42 70 46 47 11 110 77 87 107 78
CGI_10007773 4 6 9 13 10 29 17 10 15 32 38 34 17 17 1 10 2 6 50 20
CGI_10007788 5 6 3 5 5 5 9 4 6 9 10 5 4 7 0 0 0 2 7 5
CGI_10007790 3 1 3 1 8 3 1 1 2 2 2 0 3 4 0 0 0 0 8 10
CGI_10007791 6 6 5 5 5 6 8 1 6 11 8 4 9 15 0 0 1 0 13 9
CGI_10007792 6 15 8 11 9 16 14 16 13 15 18 15 19 17 0 0 3 0 42 12
CGI_10007797 2 10 4 8 7 7 4 1 4 14 8 9 4 1 3 0 2 0 12 9
CGI_10007798 1 1 0 5 5 2 2 0 3 3 5 1 2 6 1 0 0 0 7 1
CGI_10007799 5 1 2 6 4 2 4 3 5 6 7 2 10 6 1 1 1 0 6 6
CGI_10007802 11 13 7 17 15 24 17 16 14 20 23 20 28 8 0 3 0 1 40 20
CGI_10007803 4 9 5 6 4 5 12 2 10 12 9 11 7 5 0 1 3 0 15 4
CGI_10007804 0 1 1 0 1 1 7 1 3 3 1 3 1 4 1 2 0 0 3 3
CGI_10007806 15 37 11 35 29 48 45 39 53 59 61 48 49 34 4 12 6 6 107 41
CGI_10007808 7 7 5 11 11 15 19 17 26 19 21 35 15 2 0 0 1 2 39 23
CGI_10007820 9 5 11 3 0 0 0 1 3 6 6 1 2 4 0 3 1 5 2 0
CGI_10007821 0 2 3 0 1 0 0 2 3 2 6 0 1 1 4 0 0 0 2 4
CGI_10007822 2 7 2 4 4 5 3 6 2 15 8 8 7 10 0 0 0 1 14 5
CGI_10007826 13 4 11 0 3 2 0 2 6 3 5 3 4 0 0 6 1 3 8 6
CGI_10007848 18 17 15 11 9 11 14 8 8 17 9 12 13 23 9 36 25 13 25 10
CGI_10007850 0 0 0 4 0 0 2 2 1 3 3 2 5 8 0 0 2 0 6 1
CGI_10007855 1 1 2 1 0 0 0 0 0 1 1 0 0 2 3 4 0 0 1 0
CGI_10007866 5 8 6 14 8 22 17 13 17 29 13 32 12 14 1 68 62 66 47 22
CGI_10007867 9 9 3 14 9 11 26 19 10 23 20 15 7 14 0 0 0 1 32 11
CGI_10007869 2 5 3 3 2 9 3 4 1 7 5 4 3 0 0 1 0 0 9 3
CGI_10007870 22 6 29 2 8 5 7 3 6 16 10 7 4 9 0 11 12 10 12 2
CGI_10007875 1 7 1 7 10 10 8 6 6 19 7 2 6 5 1 6 8 3 34 5
CGI_10007890 2 0 3 6 1 2 1 3 2 0 1 1 2 0 0 0 1 1 2 3
CGI_10007892 97 42 194 28 47 58 56 42 53 103 99 81 58 36 8 201 153 196 136 77
CGI_10007893 3 5 0 1 1 1 1 1 4 3 3 1 1 7 1 0 1 0 6 3
CGI_10007906 1 3 2 2 0 4 8 0 9 9 6 5 1 2 0 0 0 0 8 2
CGI_10007907 30 38 23 49 39 20 31 24 49 86 70 53 48 16 6 4 0 0 64 41
CGI_10007908 8 15 5 15 18 26 19 19 24 40 28 11 11 28 1 3 3 5 29 8
CGI_10007909 2 1 2 4 2 1 0 3 0 1 1 0 1 0 0 4 3 0 3 0
CGI_10007913 9 3 6 1 3 7 6 7 3 9 5 7 7 6 0 1 1 1 16 7
CGI_10007914 8 6 10 5 17 11 9 10 9 31 25 14 18 13 2 15 7 13 26 13
CGI_10007918 7 5 5 4 7 13 17 13 13 10 20 20 10 12 0 0 0 0 28 12
CGI_10007920 2 6 2 12 9 10 8 8 4 7 8 5 11 11 0 3 0 1 13 10
CGI_10007921 4 3 0 5 4 5 5 3 11 16 15 10 3 7 0 0 0 0 18 12
CGI_10007922 9 8 11 13 12 4 10 10 24 26 22 11 21 7 0 1 2 0 13 11
CGI_10007923 2 0 2 3 3 0 2 0 3 7 5 6 7 6 0 0 0 0 5 2
CGI_10007925 7 4 2 3 0 3 1 0 3 0 4 2 0 2 0 4 2 7 8 1
CGI_10007927 5 10 2 8 6 12 14 19 8 16 21 10 16 12 1 0 0 1 27 13
CGI_10007928 29 6 60 22 24 37 30 29 29 66 45 39 33 9 5 57 38 51 69 43
CGI_10007929 29 45 50 21 41 64 61 46 51 74 69 94 69 36 17 148 115 146 109 112
CGI_10007930 6 7 10 10 9 10 14 2 12 17 15 13 15 18 0 0 0 1 21 13
CGI_10007931 52 16 42 14 10 13 15 15 11 16 26 19 11 10 6 23 19 34 20 11
CGI_10007935 2 1 3 3 1 1 0 0 0 2 1 0 2 4 1 0 0 0 4 0
CGI_10007944 3 3 1 6 2 0 1 2 2 7 7 2 4 0 0 0 0 0 0 0
CGI_10007957 6 17 9 7 15 16 15 11 22 33 18 12 20 24 8 32 14 33 25 12
CGI_10007958 80 16 149 12 18 27 33 14 25 34 33 22 25 20 4 56 46 56 63 23
CGI_10007972 0 1 0 3 5 2 4 1 1 6 3 4 2 6 0 0 1 2 6 4
CGI_10007975 1 1 3 6 6 7 8 3 2 8 9 9 8 8 3 4 15 5 9 3
CGI_10007976 9 18 10 17 17 39 39 34 28 47 45 40 20 56 1 5 4 9 74 43
CGI_10007983 5 0 8 1 3 1 1 2 2 1 1 3 2 9 4 0 2 1 12 10
CGI_10007985 13 11 10 23 20 18 14 24 12 19 17 27 23 22 4 30 32 40 39 28
CGI_10007986 0 1 0 2 0 3 1 0 1 3 3 2 2 2 0 4 1 4 8 3
CGI_10007989 25 69 33 58 67 119 100 80 96 142 145 131 95 23 4 62 47 51 231 111
CGI_10007995 0 1 0 1 0 4 2 1 0 1 7 1 4 0 0 1 0 0 1 1
CGI_10007999 11 33 19 26 28 36 30 25 28 57 50 36 40 23 4 4 1 4 65 53
CGI_10008000 15 30 18 43 37 48 50 37 50 80 75 62 49 23 4 7 3 5 83 43
CGI_10008008 17 14 15 13 20 16 22 12 21 37 37 28 21 24 1 9 6 5 33 24
CGI_10008009 16 13 15 17 26 14 21 13 25 18 33 23 29 19 1 20 15 24 49 26
CGI_10008010 12 21 9 25 25 36 44 29 31 63 46 46 35 12 5 16 11 10 57 34
CGI_10008012 0 6 1 1 4 2 6 3 0 2 13 1 4 3 0 0 0 0 2 3
CGI_10008013 22 14 22 7 9 9 6 10 16 28 20 18 22 17 1 14 6 5 42 26
CGI_10008015 2 0 1 4 5 1 3 1 3 3 4 3 3 3 0 0 0 0 7 2
CGI_10008016 2 0 0 1 1 2 1 3 1 0 0 4 1 1 0 0 0 0 4 0
CGI_10008018 0 4 1 2 0 3 0 0 1 5 1 0 4 2 0 0 0 0 4 1
CGI_10008019 13 13 13 21 21 32 30 24 33 55 42 58 30 41 9 66 55 68 85 34
CGI_10008020 0 8 3 2 2 2 3 2 5 5 3 8 3 6 2 0 0 0 11 3
CGI_10008021 1 2 2 9 1 3 3 5 4 11 6 4 1 21 2 0 0 2 11 5
CGI_10008023 14 13 14 14 24 29 39 24 28 37 44 36 23 36 1 20 22 36 58 34
CGI_10008029 1 3 2 5 7 3 8 7 4 6 10 13 7 15 6 16 9 12 21 14
CGI_10008035 0 2 1 1 0 0 1 3 0 1 1 1 0 5 0 0 1 1 1 0
CGI_10008043 3 2 5 0 3 1 0 0 2 0 1 3 0 2 0 2 6 5 8 1
CGI_10008044 1 0 0 1 0 0 1 1 1 3 0 2 1 5 1 1 0 0 1 0
CGI_10008052 10 2 2 8 8 3 4 6 10 8 5 11 9 18 1 4 0 1 7 5
CGI_10008056 251 153 377 146 121 91 78 65 102 166 208 97 91 148 26 68 33 75 150 44
CGI_10008057 346 69 479 75 43 55 41 22 51 71 97 48 33 50 17 152 43 114 110 44
CGI_10008058 782 357 1095 536 365 489 484 292 390 706 668 548 330 395 151 937 738 942 696 366
CGI_10008061 0 0 6 2 0 6 4 1 10 4 2 6 1 2 0 2 0 0 11 3
CGI_10008063 133 50 159 42 48 43 52 32 46 85 94 40 52 46 6 11 21 23 75 47
CGI_10008066 3 2 1 1 2 0 3 2 3 0 4 2 4 3 2 0 0 0 6 2
CGI_10008067 30 15 53 29 20 29 15 14 43 36 32 37 21 12 0 1 9 3 76 24
CGI_10008069 24 6 37 27 24 16 12 9 16 19 21 12 8 11 0 2 7 1 15 7
CGI_10008075 8 2 5 3 7 3 1 3 6 10 7 11 6 3 4 1 0 1 13 7
CGI_10008085 72 14 98 19 17 9 11 15 19 27 22 16 25 11 6 30 21 31 26 24
CGI_10008086 80 38 105 35 36 46 32 17 56 63 84 50 32 37 4 12 11 16 69 37
CGI_10008097 1 0 6 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
CGI_10008099 8 6 18 6 9 9 14 11 9 22 23 10 16 13 1 0 1 0 37 20
CGI_10008101 2 6 2 3 2 8 3 1 6 10 7 3 5 6 0 1 2 1 4 0
CGI_10008105 3 6 2 11 7 3 7 7 7 17 21 3 8 9 0 0 0 0 9 4
CGI_10008106 1 1 9 0 2 2 0 0 3 2 0 1 0 0 0 0 0 0 1 4
CGI_10008110 13 21 14 20 14 27 41 16 29 35 35 45 26 17 5 44 49 49 63 49
CGI_10008117 17 15 8 15 12 13 20 9 10 17 21 15 27 25 1 2 4 1 24 6
CGI_10008118 10 31 6 34 26 41 50 36 30 57 47 56 31 26 5 41 34 45 85 43
CGI_10008124 0 0 1 3 1 0 1 1 0 2 0 1 0 1 1 0 1 1 0 1
CGI_10008125 54 15 86 9 14 7 17 9 16 13 19 19 22 9 6 22 24 17 16 20
CGI_10008126 0 0 0 3 0 0 0 0 2 3 3 0 2 1 2 1 1 0 3 0
CGI_10008129 4 3 3 6 9 10 8 7 10 13 8 9 8 5 9 13 15 10 17 15
CGI_10008130 2 3 2 3 3 0 0 1 2 2 1 3 1 2 0 3 0 0 2 1
CGI_10008133 6 7 4 4 14 23 7 5 6 23 17 16 7 10 2 17 10 29 21 12
CGI_10008153 1 0 0 5 4 2 3 1 2 6 8 1 4 3 1 0 4 7 3 3
CGI_10008154 20 16 21 20 32 24 33 30 40 42 46 29 29 30 10 72 71 76 65 36
CGI_10008155 2 0 0 3 4 2 5 3 5 3 1 4 5 1 0 0 0 0 8 2
CGI_10008156 4 13 2 3 10 9 27 3 17 4 9 7 9 4 1 0 0 0 28 5
CGI_10008158 0 0 1 0 1 0 0 0 1 1 2 5 1 1 2 0 0 0 3 1
CGI_10008160 0 0 0 1 0 1 1 4 2 1 1 0 1 0 1 0 0 1 3 1
CGI_10008165 4 4 4 6 3 5 7 4 6 6 7 8 4 9 2 4 2 3 14 8
CGI_10008166 26 6 43 9 7 5 9 4 11 12 12 6 6 8 5 12 6 16 9 6
CGI_10008179 5 16 8 18 10 10 16 8 21 33 29 17 8 21 4 2 7 3 26 14
CGI_10008181 18 22 12 20 28 23 38 23 30 53 46 38 31 28 3 2 4 2 54 31
CGI_10008182 3 11 10 5 7 6 7 7 11 25 13 15 12 11 3 0 0 0 24 8
CGI_10008183 10 27 11 21 20 26 33 24 22 60 39 35 27 39 5 6 11 19 69 24
CGI_10008193 5 7 7 2 2 1 1 1 7 12 8 6 4 10 0 6 0 1 3 7
CGI_10008194 24 54 49 48 51 96 76 70 79 117 112 106 69 51 11 94 102 112 191 130
CGI_10008195 40 17 52 4 10 21 21 18 21 25 23 24 16 10 0 31 32 37 29 23
CGI_10008196 2 4 1 0 0 0 1 1 1 9 1 6 4 0 0 0 0 0 4 5
CGI_10008202 0 3 2 3 1 0 4 0 1 4 2 2 5 4 0 0 0 0 1 0
CGI_10008203 35 8 34 0 4 8 3 3 3 9 10 11 11 6 4 13 17 12 14 1
CGI_10008207 0 0 0 1 0 4 1 0 0 5 2 0 1 7 0 1 0 0 2 3
CGI_10008208 1 7 6 11 12 9 9 5 7 16 15 11 4 12 4 2 2 1 16 9
CGI_10008209 2 5 9 13 14 8 7 7 7 17 10 11 6 13 0 6 6 3 17 5
CGI_10008211 1 11 1 8 5 12 13 11 19 16 19 10 6 9 1 2 0 0 18 12
CGI_10008216 0 2 0 0 1 1 1 0 1 1 2 0 1 11 1 0 3 0 6 0
CGI_10008226 0 1 0 3 2 1 4 0 1 5 5 1 1 0 0 0 0 0 5 2
CGI_10008229 0 7 0 0 1 0 0 0 1 1 5 0 1 2 0 0 0 0 3 0
CGI_10008234 0 6 2 4 2 2 1 1 1 4 0 0 0 2 0 2 0 0 3 2
CGI_10008235 1 4 2 3 0 0 2 1 2 2 4 2 2 6 0 1 1 0 3 5
CGI_10008239 0 0 0 1 0 0 0 1 4 2 0 0 0 0 3 3 0 0 2 0
CGI_10008242 1 10 2 9 11 30 31 13 15 18 17 29 14 2 1 31 13 17 40 24
CGI_10008256 0 0 0 3 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0
CGI_10008261 1 1 4 6 4 8 9 7 5 14 9 3 5 10 6 18 10 13 9 7
CGI_10008262 1 4 3 0 1 7 2 4 4 7 10 3 7 3 0 5 5 2 12 6
CGI_10008268 1 3 3 1 2 3 1 1 1 6 3 3 6 2 0 4 1 5 8 6
CGI_10008272 7 8 3 6 7 5 11 6 4 8 3 5 7 2 1 2 4 2 15 5
CGI_10008273 16 34 3 20 37 46 45 34 50 54 64 63 57 33 10 78 61 67 120 51
CGI_10008274 9 8 2 12 15 16 18 10 14 23 17 31 19 17 4 26 11 20 35 20
CGI_10008277 0 4 3 2 1 0 0 0 0 0 1 0 3 5 0 1 1 0 2 0
CGI_10008281 1 8 4 0 1 1 2 1 3 5 6 5 3 0 1 2 0 1 2 1
CGI_10008284 2 3 1 2 2 2 5 6 5 2 4 0 2 0 0 0 1 0 11 3
CGI_10008285 13 16 20 18 17 12 24 17 14 25 18 26 15 15 8 11 13 17 27 11
CGI_10008286 5 0 0 0 0 3 1 1 1 2 1 3 0 3 1 4 1 0 1 0
CGI_10008296 0 1 0 6 3 3 4 0 1 5 3 0 2 6 0 0 0 0 3 1
CGI_10008297 3 8 7 9 9 5 13 10 8 18 16 10 20 7 5 30 22 30 15 13
CGI_10008298 10 19 6 25 18 20 26 19 27 37 35 19 18 20 7 37 35 30 49 30
CGI_10008301 0 0 0 3 1 0 1 0 1 1 1 3 0 3 1 0 0 0 2 0
CGI_10008304 2 6 2 3 3 4 3 4 10 10 7 6 8 3 0 5 2 9 14 9
CGI_10008305 2 4 0 1 5 5 7 1 7 10 15 3 4 10 0 1 0 0 8 4
CGI_10008306 31 33 63 14 28 44 46 31 54 69 58 59 29 34 8 39 23 35 90 63
CGI_10008313 0 6 4 6 2 9 5 7 1 7 8 5 9 5 1 0 1 0 8 2
CGI_10008315 1 2 2 4 1 2 1 0 0 3 1 2 1 4 3 5 1 2 3 1
CGI_10008318 4 10 8 9 8 9 7 3 11 12 11 8 23 14 0 8 3 4 17 9
CGI_10008319 1 5 8 5 8 8 6 10 12 10 8 6 10 8 7 3 3 5 13 7
CGI_10008320 5 0 3 3 3 1 6 2 3 5 9 4 8 4 0 0 0 0 12 4
CGI_10008321 1 2 0 0 0 1 1 0 0 1 0 2 0 5 1 1 0 1 2 0
CGI_10008329 3 8 0 1 6 10 13 7 17 25 19 16 6 13 1 7 9 2 14 3
CGI_10008334 0 0 1 1 5 0 1 2 4 3 0 1 2 0 0 0 0 1 0 1
CGI_10008335 2 4 3 2 2 1 0 0 0 5 1 3 2 5 0 0 0 0 0 0
CGI_10008336 9 8 6 6 6 3 3 8 6 9 17 7 8 4 3 9 10 12 11 7
CGI_10008337 1 7 2 6 1 3 4 2 8 8 9 6 1 0 2 0 1 0 4 1
CGI_10008339 0 0 0 0 0 2 1 1 0 4 2 1 1 0 0 7 4 5 2 1
CGI_10008344 3 0 1 2 1 2 4 3 1 3 1 3 1 8 0 2 2 3 8 1
CGI_10008345 0 1 0 3 1 1 0 1 1 1 2 0 3 1 1 0 0 0 4 1
CGI_10008349 3 17 2 13 4 7 7 4 10 6 5 8 5 4 2 22 13 17 22 6
CGI_10008355 0 3 0 0 0 0 1 0 0 0 2 1 0 5 2 0 0 0 0 1
CGI_10008356 1 11 0 2 3 5 4 4 4 11 7 7 5 10 1 3 3 12 13 6
CGI_10008364 2 23 11 14 17 15 24 13 20 43 35 20 18 29 6 7 9 3 43 28
CGI_10008368 70 41 105 44 30 71 68 53 67 101 94 73 76 88 23 199 154 157 119 109
CGI_10008369 5 6 5 2 1 3 3 2 2 10 5 4 7 7 2 2 1 0 3 3
CGI_10008373 12 18 12 12 12 25 32 20 17 38 28 18 23 32 0 1 0 1 45 24
CGI_10008384 10 34 12 12 22 20 24 25 30 22 23 20 26 18 4 12 9 6 39 25
