"28cell1te" "28cell2te" "28cell3te" "blastula2te" "blastula3te" "dlarv1te" "dlarv2te" "dlarv3te" "gastrula1te" "gastrula2te" "gastrula3te" "morula1te" "morula2te" "ovo1te" "ovo2te" "spat1te" "spat2te" "spat3te" "troc1te" "troc2te"
"10529" 4 0 1 1 0 0 1 1 3 1 1 0 4 0 0 7 0 1 0 2
"10533" 3 4 0 5 2 5 8 8 6 9 16 9 7 6 0 1 0 0 11 7
"10549" 4 4 12 1 2 10 5 6 6 3 5 10 2 2 0 4 1 9 16 4
"10550" 5 4 2 4 2 6 7 7 9 12 7 11 7 9 0 5 1 2 18 5
"10558" 5 0 3 0 0 0 0 0 0 0 0 0 1 0 1 1 0 3 0 1
"10576" 0 2 0 1 7 5 3 8 5 8 7 7 5 7 1 1 0 1 6 7
"10578" 2 2 3 6 3 4 8 5 5 2 7 6 4 1 0 1 0 3 16 5
"10612" 13 0 10 1 3 0 1 1 2 2 1 1 2 2 0 4 3 0 1 1
"10613" 15 3 22 1 2 4 4 2 3 5 5 5 5 5 0 5 6 7 5 9
"10615" 4 1 2 1 0 4 1 2 2 1 2 4 3 4 0 1 0 0 5 1
"10626" 5 4 1 2 1 5 1 1 2 1 1 3 1 0 0 2 0 0 5 3
"10631" 10 3 12 2 1 5 5 4 8 7 4 7 2 8 3 0 1 1 10 5
"10632" 0 4 3 1 6 6 5 5 6 10 6 2 6 4 0 3 0 2 7 12
"10635" 2 2 4 0 5 1 1 1 5 7 3 2 3 0 3 0 0 0 3 3
"10636" 3 1 4 1 0 8 2 5 5 3 2 9 2 5 1 2 2 2 13 8
"10642" 62 12 90 7 14 20 11 9 10 27 15 16 10 6 3 25 26 48 28 25
"10692" 6 9 13 6 7 9 10 3 6 11 11 7 7 4 1 19 21 17 15 25
"10725" 1 1 0 5 7 11 7 5 5 4 4 14 9 5 3 10 3 4 18 6
"10726" 8 5 4 3 3 2 5 0 3 12 11 1 8 5 1 5 3 3 5 1
"10745" 8 3 7 5 2 4 5 2 6 5 6 3 7 16 0 0 3 0 12 5
"10764" 2 1 0 10 10 9 8 4 12 11 6 9 7 9 1 2 1 4 20 8
"1077" 11 8 5 8 9 16 9 8 12 23 11 18 12 4 0 24 21 34 28 16
"10779" 8 3 16 0 0 1 0 0 0 0 0 0 1 0 0 8 2 3 0 0
"10796" 1 4 2 3 8 3 5 1 5 3 13 10 8 2 1 1 4 0 6 4
"10811" 53 15 66 12 5 9 5 7 10 8 15 10 7 11 3 69 25 39 14 6
"10812" 3 1 3 1 2 2 0 0 1 1 1 4 2 1 1 1 1 2 0 0
"10813" 6 0 2 0 2 1 5 3 1 3 5 9 4 0 0 0 0 0 6 2
"10818" 3 2 1 2 3 5 4 4 6 8 4 2 2 4 1 2 5 1 3 1
"10842" 0 2 2 1 1 5 2 1 3 3 1 2 2 1 1 1 1 0 3 2
"10843" 3 13 4 6 8 11 16 13 20 20 18 19 15 9 0 16 17 16 22 24
"10844" 2 6 0 5 4 11 11 4 10 18 12 11 15 4 0 17 17 25 27 19
"10845" 1 2 2 0 3 4 5 1 3 4 4 5 3 2 0 4 1 1 15 10
"10846" 1 1 0 3 2 4 2 1 3 2 2 6 3 3 0 0 0 0 3 4
"1085" 7 1 12 1 2 1 0 1 2 7 2 2 3 4 0 2 0 1 2 0
"10851" 0 11 2 3 3 8 13 11 6 12 14 10 7 1 1 9 7 11 8 11
"10852" 4 7 18 4 4 8 1 2 7 4 7 12 8 8 1 5 6 2 6 14
"10854" 2 2 3 10 4 13 7 12 10 10 6 14 8 8 2 12 14 14 14 11
"10855" 11 5 3 7 11 20 15 6 18 21 18 28 14 15 1 10 11 13 33 14
"10857" 2 4 0 1 2 3 5 5 12 4 4 2 4 5 0 2 3 1 10 8
"10859" 6 8 2 7 10 14 7 7 7 9 11 8 9 14 1 8 10 14 7 9
"10863" 2 2 4 1 3 6 4 0 4 5 5 5 6 1 1 17 8 12 14 3
"10864" 2 1 3 1 0 1 2 1 5 0 0 3 1 0 0 5 2 6 3 4
"10869" 12 35 20 33 34 11 14 17 27 47 38 20 24 46 4 3 0 4 40 14
"10870" 20 39 26 6 33 21 25 25 24 38 36 28 36 64 15 4 4 5 51 30
"10871" 11 31 15 14 16 11 31 12 27 38 40 32 26 33 2 2 1 0 28 10
"10875" 8 2 10 2 3 0 4 7 5 4 4 3 4 7 3 1 0 0 5 3
"10876" 93 24 146 10 12 48 36 20 18 33 31 41 24 3 4 152 101 173 137 58
"10879" 3 0 7 0 1 1 5 0 2 2 1 1 0 0 0 5 2 0 5 0
"109" 1 0 0 2 3 1 1 1 1 6 8 3 2 2 0 11 11 3 8 4
"1091" 1 1 4 1 0 1 0 4 1 4 3 1 0 0 0 9 14 6 10 3
"10913" 28 10 31 8 7 11 7 6 16 11 9 14 14 9 1 21 21 17 29 20
"10925" 0 4 0 1 1 0 0 0 2 1 1 0 1 2 0 4 4 0 1 0
"10961" 1 2 2 2 1 4 4 2 4 2 1 2 1 1 0 2 1 2 15 2
"10965" 5 7 5 8 4 1 5 6 8 9 6 3 2 2 2 0 0 0 11 3
"10966" 3 14 7 16 23 33 27 22 25 48 35 44 38 14 1 2 5 3 78 48
"10973" 1 2 6 0 0 0 0 0 0 1 2 0 0 0 2 0 0 0 1 0
"10978" 5 0 2 0 3 1 1 0 0 1 1 0 0 7 0 1 1 0 0 0
"11013" 1 0 0 1 0 0 3 5 1 2 2 0 1 0 0 1 2 2 10 4
"1102" 2 0 2 0 2 1 0 1 2 2 1 1 2 1 1 4 7 2 4 4
"11022" 0 0 0 0 0 5 1 0 4 0 1 4 1 0 0 1 0 0 3 1
"11027" 3 3 4 3 0 5 2 1 6 9 2 3 1 2 0 5 1 1 8 10
"11038" 0 3 7 1 0 1 0 0 2 2 3 2 1 3 0 0 0 0 11 4
"11040" 3 13 6 15 6 2 14 3 11 13 17 6 16 15 9 35 20 15 26 5
"11089" 4 1 0 8 3 15 9 5 11 10 4 17 7 8 0 4 2 9 33 19
"11109" 0 1 2 0 1 2 0 0 1 2 1 0 1 0 1 0 4 1 2 0
"11125" 1 0 1 4 2 2 3 0 2 6 6 5 1 5 0 2 0 0 7 1
"11126" 1 6 3 6 7 9 15 9 14 22 22 6 14 12 1 2 1 0 22 9
"11127" 7 0 10 0 0 1 1 0 0 3 0 2 2 0 0 4 2 5 4 2
"11129" 21 2 14 0 0 3 3 0 4 0 0 0 1 0 0 7 6 5 5 0
"11134" 8 1 7 0 0 0 1 1 3 1 1 1 2 1 1 2 4 7 1 2
"11145" 0 0 1 0 1 0 0 0 0 0 0 4 0 3 0 1 0 1 9 1
"11149" 1 0 1 0 2 3 2 0 1 1 1 1 2 0 1 0 0 2 6 4
"11155" 9 8 9 20 16 21 21 21 24 37 36 27 22 17 4 33 10 19 55 31
"11160" 3 1 1 3 2 8 4 3 4 2 3 2 3 5 1 2 0 0 15 4
"11167" 4 2 13 0 2 0 5 0 1 2 1 3 1 2 1 0 3 1 6 1
"11171" 0 2 2 3 3 1 1 0 7 6 8 1 2 3 2 0 0 0 6 3
"11193" 1 1 3 2 1 1 1 2 2 5 5 1 2 7 4 2 6 5 5 1
"11197" 5 0 5 3 1 1 0 0 0 0 2 1 0 0 0 5 2 2 0 0
"11209" 0 0 2 1 0 1 2 0 2 2 2 2 4 8 0 1 1 0 3 1
"11210" 2 5 3 3 2 5 2 4 4 4 9 10 5 0 0 6 6 5 7 8
"11212" 1 4 1 6 11 13 16 5 9 5 7 14 17 15 1 0 2 1 16 18
"11213" 13 4 14 13 23 20 24 13 20 35 24 49 26 17 2 69 57 56 80 41
