"28cell1te" "28cell2te" "28cell3te" "blastula2te" "blastula3te" "dlarv1te" "dlarv2te" "dlarv3te" "gastrula1te" "gastrula2te" "gastrula3te" "morula1te" "morula2te" "ovo1te" "ovo2te" "spat1te" "spat2te" "spat3te" "troc1te" "troc2te"
"23265" 0 0 2 0 3 0 0 0 5 0 0 2 2 7 2 0 0 2 3 3
"23268" 10 19 6 20 13 28 36 17 21 40 38 33 17 8 0 9 4 2 38 37
"23292" 26 8 27 8 5 17 11 8 11 9 9 15 9 9 4 18 29 22 26 24
"23293" 1 1 6 1 2 4 0 1 3 0 5 2 0 0 0 1 0 1 2 1
"23342" 8 20 3 27 23 31 27 20 23 29 25 28 25 13 2 19 33 41 46 28
"23354" 1 0 2 1 2 3 4 2 3 2 6 1 1 2 0 0 0 1 1 1
"23370" 2 1 0 0 1 4 0 0 1 6 1 1 0 0 1 2 0 0 3 1
"23390" 3 0 4 4 1 0 1 1 4 1 0 1 2 0 0 0 1 0 1 0
"2341" 5 2 2 1 9 7 13 8 5 7 10 10 3 2 0 2 0 0 18 5
"23418" 3 17 9 19 14 10 17 11 19 38 24 14 15 19 0 1 3 2 24 18
"23426" 4 0 1 2 3 3 6 6 6 6 5 4 4 7 0 6 10 8 12 4
"23428" 0 7 0 0 1 2 0 2 0 3 0 2 1 0 0 1 2 0 3 5
"2343" 1 3 0 3 3 1 0 3 0 3 2 0 1 2 0 1 0 0 1 0
"23431" 13 3 8 2 0 1 2 1 0 5 4 1 3 1 0 0 1 1 2 1
"23434" 9 8 5 7 9 22 16 6 17 22 16 19 15 8 0 10 5 13 20 16
"23439" 2 4 4 2 4 2 1 0 3 9 14 3 5 6 3 8 5 4 10 4
"2344" 2 3 0 5 6 3 5 5 4 9 6 7 6 4 5 8 6 10 12 3
"23445" 1 0 2 0 2 3 3 2 4 3 10 4 6 1 5 6 10 15 7 4
"23447" 1 2 6 0 3 0 0 0 2 0 1 2 3 0 0 1 1 0 2 0
"23456" 16 1 14 1 1 4 1 2 4 3 2 5 3 4 0 0 1 2 1 2
"23472" 0 0 1 2 1 2 0 1 3 2 1 1 1 0 0 1 0 0 9 5
"23484" 0 0 0 4 1 7 1 2 8 4 2 4 1 0 0 0 0 0 7 2
"23485" 2 1 0 8 0 2 6 1 6 9 6 2 2 0 0 0 1 2 13 4
"23489" 1 14 12 10 9 22 26 17 16 24 35 21 12 11 1 41 38 71 50 42
"23491" 10 3 15 1 2 0 1 2 1 2 0 1 2 0 2 2 2 1 1 2
"23492" 0 0 0 0 3 1 2 0 2 0 4 2 0 3 2 0 0 0 2 5
"23493" 0 0 0 1 2 1 4 0 4 7 6 1 3 1 1 1 1 2 3 3
"23494" 0 2 0 3 3 5 10 3 8 12 17 13 10 10 0 9 8 10 13 13
"23495" 0 1 4 2 3 5 4 4 3 12 5 4 5 7 0 13 8 9 11 2
"23504" 10 3 12 3 2 4 4 3 3 1 6 2 4 3 1 2 6 0 6 2
"2351" 0 3 1 3 3 5 8 2 5 3 3 4 4 5 0 3 0 7 5 12
"23514" 5 19 4 57 41 35 32 24 40 56 65 34 24 14 0 5 1 2 57 28
"23518" 116 24 125 8 13 16 17 10 15 28 24 10 13 36 3 72 43 35 23 9
"23520" 0 0 0 1 1 0 1 4 0 4 2 1 0 3 1 0 1 1 1 1
"23541" 44 7 61 7 9 8 12 11 9 11 14 10 10 2 2 33 33 37 15 10
"23554" 4 1 1 3 0 5 4 1 9 4 4 4 4 6 0 2 0 0 16 4
"23576" 2 15 4 6 8 22 21 8 7 11 18 11 11 13 0 14 6 13 28 11
"23577" 1 8 1 2 2 2 3 6 2 4 6 6 2 1 0 0 0 0 3 1
"23604" 1 2 1 3 2 4 1 1 8 1 2 0 1 0 0 0 0 2 3 1
"23623" 0 3 0 0 3 2 2 1 3 2 2 2 3 0 4 0 0 0 3 1
"23624" 0 0 0 5 1 2 2 3 0 1 4 0 0 0 0 7 8 9 7 2
"23625" 1 2 0 3 0 0 2 2 3 6 2 1 0 0 0 4 3 5 2 0
"23626" 1 1 4 5 1 1 4 1 2 9 7 3 4 5 0 1 0 0 9 2
"23678" 28 8 34 9 8 17 19 13 14 22 9 15 12 9 3 46 40 37 39 14
"23679" 1 0 1 0 2 4 5 4 3 0 1 6 3 6 1 3 5 9 12 5
"2368" 3 7 0 9 4 2 6 2 12 6 5 3 11 4 0 0 0 0 5 8
"23681" 3 2 1 2 3 2 1 1 0 4 3 3 2 7 0 2 1 1 5 4
"23682" 12 5 13 1 2 0 3 2 2 4 9 0 2 5 2 6 3 7 2 3
"23699" 4 1 3 2 4 1 1 2 3 1 4 3 1 1 0 3 2 2 2 5
"23700" 2 3 0 4 7 8 10 4 15 12 10 15 7 9 1 4 1 1 24 10
"23701" 0 6 2 4 3 13 6 9 7 9 4 24 11 7 2 4 2 1 26 12
"23702" 1 5 0 9 13 20 15 10 19 9 9 26 14 18 5 11 9 3 39 21
"23703" 2 1 5 0 3 4 4 4 2 9 4 6 3 1 0 3 1 1 8 7
"23704" 1 1 1 3 3 3 0 3 7 4 4 0 1 4 0 1 0 2 6 1
"23705" 39 9 45 5 7 10 14 5 8 7 8 11 10 0 1 27 21 24 25 7
"23720" 9 1 9 3 3 2 3 1 1 3 0 9 2 1 0 9 4 4 3 2
"23721" 7 1 4 1 0 2 2 2 2 4 0 1 1 3 0 1 2 4 2 0
"23728" 8 0 6 3 0 1 3 0 2 0 1 1 0 1 0 2 3 2 2 4
"23743" 2 6 2 4 4 13 13 9 11 20 13 18 4 1 0 1 1 2 27 10
"23745" 6 10 5 5 9 8 3 4 3 7 12 5 9 1 2 4 7 3 6 5
"23759" 2 2 3 0 0 0 0 1 0 1 4 1 3 6 1 2 2 2 0 6
"23770" 1 0 3 3 0 2 3 1 3 4 3 2 4 4 2 0 0 1 5 0
"23772" 1 2 2 1 3 1 3 1 2 5 3 2 2 9 1 3 0 3 4 2
"23775" 12 5 25 2 1 3 4 3 1 2 4 2 3 4 2 7 6 10 4 5
"23780" 23 8 31 3 2 7 15 11 8 6 6 9 9 4 4 31 40 26 16 10
"23781" 7 0 22 1 2 3 0 2 2 0 1 0 4 0 0 2 7 5 3 3
"23798" 0 3 0 1 3 2 0 1 4 5 2 6 4 2 0 1 2 1 5 5
"23805" 0 1 3 0 1 4 3 2 6 3 3 5 2 2 2 6 2 14 4 3
"23807" 1 0 1 0 4 1 2 1 4 3 1 3 1 0 0 4 2 5 0 4
"23811" 3 0 8 1 1 2 2 4 2 4 2 1 2 4 0 6 7 3 2 1
"23812" 21 8 29 4 3 6 6 8 3 7 3 3 6 3 2 8 7 8 5 3
"23829" 0 2 1 3 4 6 6 7 9 3 3 11 5 3 0 3 2 4 12 12
"23837" 0 4 0 1 2 1 1 1 3 2 3 1 1 1 1 0 1 0 3 4
"23843" 1 4 1 3 1 1 0 0 5 0 4 1 0 4 0 1 3 1 1 3
"23848" 2 4 5 1 5 5 8 8 5 3 4 4 5 7 0 1 0 0 13 4
"23852" 2 1 1 2 1 1 1 3 5 6 4 1 1 4 0 0 1 0 1 2
"23854" 3 2 1 4 3 1 2 1 3 9 4 3 2 2 0 0 0 0 9 2
"23867" 0 7 6 2 5 10 5 4 7 4 2 6 3 4 2 2 0 0 16 5
"23868" 4 2 1 6 9 13 8 6 6 13 14 6 9 14 4 8 18 11 19 14
"23873" 1 2 1 3 6 2 4 1 1 1 0 2 0 2 0 0 0 0 1 2
"23885" 20 5 15 1 2 0 0 0 2 4 2 2 1 4 1 4 1 1 2 0
"23886" 1 9 3 5 2 5 5 3 13 11 7 2 2 14 0 0 0 0 7 4
"23888" 4 12 0 5 1 11 7 6 7 15 24 7 5 8 0 5 6 3 23 5
"23890" 0 2 0 3 1 0 0 3 0 0 1 1 1 1 0 1 0 0 4 2
"23896" 14 6 13 0 2 0 1 2 4 3 2 1 3 3 0 1 3 1 5 0
"23904" 1 4 4 1 2 5 2 1 3 2 3 1 4 1 0 1 3 3 7 1
"23907" 18 3 38 4 4 8 4 4 3 11 8 2 5 6 1 4 5 1 7 7
"23944" 1 0 1 2 2 0 0 3 3 3 5 0 1 0 0 0 0 0 2 6
"23952" 10 2 10 6 9 38 20 24 13 44 39 36 14 11 3 106 71 116 100 38
"23960" 1 1 3 1 0 3 4 1 4 1 1 0 1 2 0 0 0 0 10 0
"23963" 0 2 0 1 0 3 3 1 2 1 3 8 1 6 0 0 0 1 10 0
"23975" 2 1 0 3 4 0 1 0 3 5 2 1 1 1 0 0 0 0 0 0
"23983" 2 1 2 2 0 2 3 0 10 5 1 8 4 2 0 4 1 6 18 5
"23994" 7 5 7 8 8 10 11 8 3 14 11 16 6 2 0 0 0 1 21 12
"23996" 2 7 0 2 7 3 8 5 4 10 10 9 5 2 1 2 0 0 17 10
"23997" 4 7 2 10 12 20 26 13 23 33 31 18 27 21 2 46 31 33 40 27
"23998" 15 3 27 1 3 1 4 2 4 9 11 3 5 10 1 10 6 6 9 6
"24010" 0 5 0 2 1 0 0 0 1 3 2 2 1 1 2 1 1 0 0 3
"24018" 5 4 6 4 6 4 7 4 5 8 4 7 6 8 2 11 7 21 18 1
"24019" 1 8 1 5 4 4 9 4 0 10 9 5 4 13 0 5 7 6 6 4
"24021" 2 5 2 3 2 0 2 2 4 9 9 1 5 1 1 1 0 0 7 4
"24022" 2 3 3 2 2 5 4 2 10 6 9 2 4 8 1 0 0 0 8 5
"24042" 1 8 2 3 0 2 4 7 3 4 1 3 1 3 1 1 0 0 5 1
"24043" 1 0 1 3 1 1 1 1 3 3 4 4 1 1 0 0 0 0 2 2
"24045" 3 6 10 3 3 5 2 1 4 7 7 1 4 6 0 18 9 16 6 3
"24046" 2 1 7 1 1 2 1 3 2 0 2 0 0 3 2 3 3 1 1 0
"24047" 1 3 1 2 2 1 2 4 5 7 9 1 2 3 0 10 3 7 2 5
"24051" 3 13 10 6 11 7 7 7 14 29 17 12 21 14 1 1 0 2 18 19
"24052" 14 34 19 13 25 19 33 13 24 32 39 34 35 32 11 50 50 68 41 31
"24054" 7 7 13 7 6 9 9 8 12 21 4 6 6 4 0 7 11 14 15 10
"24055" 5 4 7 1 4 4 6 3 8 14 11 8 7 17 2 18 14 11 15 5
"24059" 4 3 9 1 2 0 3 2 2 5 6 5 8 9 0 3 2 1 4 6
"24062" 41 5 49 2 2 3 4 9 3 5 10 12 6 2 2 18 24 28 21 12
"24063" 9 2 4 4 2 2 4 3 4 1 5 3 1 1 0 0 0 3 13 2
"24064" 1 1 0 3 2 6 12 5 3 9 11 9 9 3 2 12 16 18 23 4
"24065" 4 3 2 3 3 7 3 5 1 2 0 5 0 5 2 0 1 1 7 3
"24066" 3 2 3 1 0 2 3 0 5 6 2 2 1 1 0 1 1 0 2 4
"24067" 5 6 1 3 2 1 1 2 1 4 3 1 1 6 1 1 0 1 3 4
"24084" 4 2 4 2 7 7 6 10 7 8 9 6 5 8 0 0 0 0 8 3
"24085" 2 3 0 0 1 0 2 1 1 0 0 1 2 7 1 4 0 0 4 1
"24088" 5 5 20 6 8 5 8 4 5 7 5 2 6 11 1 0 0 1 12 11
"2412" 9 9 13 6 3 2 2 7 4 2 11 2 2 6 3 7 6 4 5 5
"24122" 1 1 5 5 4 4 6 3 7 4 3 4 5 0 0 4 3 4 13 7
"24160" 2 2 0 0 3 0 1 0 2 7 5 1 0 0 0 0 0 0 1 0
"24197" 6 1 3 2 0 0 0 0 0 2 1 0 1 2 1 0 0 0 1 0
"24207" 3 2 0 0 0 1 2 2 2 2 1 3 5 2 1 0 2 0 2 0
"24208" 0 5 1 10 4 7 8 6 4 12 18 8 7 2 0 1 1 0 12 3
"24214" 9 19 15 19 30 66 59 37 40 82 74 64 44 46 5 20 31 33 111 74
"24215" 3 0 2 2 0 1 2 0 0 6 1 4 0 2 0 0 0 0 2 0
"24271" 1 4 0 0 0 0 0 0 2 0 1 1 0 5 1 0 0 0 3 1
"24274" 5 3 8 3 2 2 0 0 2 1 1 1 1 1 2 2 1 0 8 2
"24279" 1 0 1 1 1 4 4 0 0 1 0 3 1 2 0 1 0 3 4 2
"24280" 8 9 8 9 5 16 19 11 20 24 16 13 19 7 1 0 1 0 26 26
"24287" 1 1 1 0 3 1 0 1 4 1 1 1 1 1 0 0 1 2 2 1
"2429" 21 19 14 27 14 5 10 10 13 20 33 15 20 14 1 18 11 19 23 5
"24301" 12 8 17 3 1 10 11 6 8 11 4 9 5 3 0 13 12 6 13 8
"24319" 1 0 0 1 3 0 1 1 1 0 0 2 4 7 0 1 0 4 5 1
"2433" 3 1 1 10 4 2 3 6 6 4 8 3 3 2 0 16 22 32 3 6
"24349" 3 1 0 1 5 3 7 0 5 3 8 2 4 5 2 0 0 0 6 6
"24350" 4 2 7 1 9 5 10 9 11 13 6 9 10 12 2 6 7 6 12 25
"24351" 2 1 2 2 1 2 4 2 3 3 4 2 2 6 0 0 1 0 7 1
"24365" 1 0 1 0 1 0 4 2 3 2 4 3 2 2 0 4 0 1 5 0
"24366" 9 2 16 0 2 4 4 1 1 5 6 1 4 2 0 0 3 4 10 3
"24382" 15 0 10 2 0 2 2 5 3 1 3 3 0 3 1 19 20 17 4 2
"2439" 0 3 1 3 1 4 4 0 1 2 2 0 1 2 1 0 0 0 4 1
"24403" 0 0 0 0 0 1 1 0 1 0 0 4 1 1 2 1 0 0 3 0
"24405" 3 2 3 2 2 0 5 4 1 5 11 5 5 1 0 0 0 0 5 0
"24408" 6 3 2 0 1 0 1 3 5 5 3 1 1 1 1 0 1 1 5 2
"24411" 5 9 8 1 1 4 12 14 5 7 12 14 3 6 0 4 2 2 18 6
"24445" 1 0 7 0 0 2 2 1 1 1 0 2 1 0 0 7 2 6 6 1
"24448" 6 6 2 4 2 0 3 1 2 4 2 2 2 1 0 1 1 2 8 1
"24451" 5 3 9 0 0 6 8 3 2 4 6 4 1 1 0 28 25 28 7 4
"24484" 2 3 0 1 6 4 2 2 3 3 2 8 2 1 0 0 1 2 2 5
"2449" 2 0 1 0 0 4 2 1 1 0 2 4 0 0 0 1 0 1 0 2
"24492" 11 1 9 3 3 5 10 5 9 4 7 15 6 0 0 10 11 6 27 12
"24493" 4 1 1 4 0 5 2 1 5 4 3 2 3 2 0 2 2 4 5 3
"24495" 3 11 6 14 8 24 19 11 21 31 39 30 18 9 3 51 26 30 42 27
"24530" 9 0 2 8 4 11 10 4 8 7 6 11 8 0 0 31 19 17 20 12
"24532" 0 0 2 6 3 3 6 4 2 7 9 4 4 4 0 0 0 0 6 8
"24548" 1 2 0 2 3 1 1 2 6 0 7 3 4 4 0 4 6 6 8 2
"24551" 8 9 9 4 3 3 5 4 8 7 12 8 10 7 3 24 23 25 20 12
"24552" 14 8 24 13 21 22 25 12 18 26 24 22 19 11 6 27 20 27 37 20
"24553" 66 15 83 9 16 23 15 20 22 17 12 37 26 7 6 55 36 53 40 41
"24554" 14 24 6 14 13 37 33 19 37 49 47 60 23 36 2 69 56 63 89 56
"24555" 7 15 4 11 3 3 10 2 4 14 12 5 4 10 1 6 7 6 13 7
"24557" 5 3 8 5 8 4 4 4 11 10 9 5 11 9 0 2 7 12 9 4
"24558" 7 3 6 2 1 2 4 1 1 6 4 0 0 1 0 3 2 2 7 2
"24559" 2 1 2 2 2 3 0 3 2 4 3 1 3 2 0 1 0 0 3 5
"24560" 5 2 1 9 5 5 6 4 14 8 4 10 7 1 0 2 2 0 13 8
"24561" 2 4 1 1 2 1 1 0 4 5 2 2 1 0 0 1 1 2 0 1
"24562" 3 5 5 3 3 2 2 1 3 14 12 6 4 2 0 17 18 11 8 3
"24575" 5 4 5 1 1 0 0 0 0 2 3 0 1 0 0 1 0 0 4 0
"24578" 2 4 6 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 0
"24580" 1 0 6 1 0 3 2 3 1 2 0 1 1 0 0 1 0 2 4 4
"24581" 14 1 7 3 0 1 6 2 6 8 4 4 5 6 0 1 4 4 3 8
"24603" 1 1 2 1 1 2 1 1 2 1 0 2 0 1 1 1 1 4 5 1
"24604" 1 0 2 2 1 6 3 0 6 3 0 4 0 0 0 0 1 4 8 1
"24606" 12 6 7 3 2 18 2 5 11 5 5 9 6 3 3 6 3 10 38 2
"24607" 4 4 0 1 1 5 3 0 6 1 0 2 1 3 0 4 6 7 13 2
"24630" 0 7 0 4 5 1 7 4 9 3 9 7 8 3 0 0 0 0 23 7
"24651" 0 0 0 0 2 2 5 0 2 2 2 5 2 2 0 0 0 0 7 3
"24652" 1 0 2 1 1 4 2 1 2 0 5 3 4 4 0 3 0 0 7 2
"24692" 19 35 46 24 25 31 51 30 39 56 55 52 37 33 8 70 62 92 82 51
"24702" 1 1 0 6 4 6 6 3 6 7 9 5 8 7 0 1 2 6 20 11
"24703" 15 42 15 48 52 78 85 79 79 115 112 117 82 43 6 11 1 6 238 168
"24704" 0 5 2 5 4 9 4 4 10 13 8 3 6 8 0 0 0 0 12 10
"24706" 3 7 2 2 6 2 2 3 6 4 8 5 6 4 1 2 1 4 6 7
"24707" 0 1 0 2 2 11 3 0 6 3 0 18 2 2 3 1 0 0 15 2
"24710" 0 0 0 2 1 0 0 1 5 1 2 2 0 0 2 1 0 1 2 4
"24712" 3 1 1 6 11 4 5 3 4 18 9 8 7 10 1 10 9 6 8 3
"24713" 0 0 2 1 1 4 3 0 4 0 1 1 0 2 0 1 0 0 2 2
"24714" 0 13 2 9 9 5 6 10 14 19 11 10 9 8 0 0 1 0 21 18
"24715" 2 0 2 0 7 1 1 5 2 2 0 5 5 2 0 0 0 0 5 4
"24720" 1 5 2 2 5 2 9 5 4 3 2 4 2 5 1 3 4 13 15 5
"2473" 1 2 0 5 0 4 3 2 3 3 3 2 0 1 0 3 3 1 7 2
"24731" 1 0 0 1 0 1 0 1 1 1 1 0 1 5 3 0 1 0 1 1
"24733" 6 3 12 0 2 2 3 1 7 2 2 4 2 3 1 18 9 15 3 2
"24735" 11 5 1 5 4 8 2 8 0 8 5 5 7 3 2 3 2 0 10 10
"2474" 4 2 4 2 4 3 3 4 3 2 3 5 5 8 2 4 5 6 2 0
"24740" 0 10 1 10 6 8 11 4 7 20 11 10 15 20 1 0 0 0 20 11
"24749" 5 4 6 3 3 5 4 2 0 7 4 5 4 1 1 1 0 0 6 4
"24774" 0 0 0 0 2 0 2 2 3 0 0 2 1 0 1 2 1 0 5 6
"24777" 3 1 1 5 5 13 14 14 10 14 25 12 7 16 2 1 0 1 33 16
"24780" 6 2 6 7 6 16 7 8 8 3 12 12 8 7 0 8 10 14 23 12
"24785" 0 0 3 3 3 2 3 4 1 4 5 7 5 2 2 7 9 6 15 11
"24786" 9 7 7 7 10 6 8 6 3 4 11 10 7 1 0 4 4 7 25 6
"24787" 1 6 0 5 4 9 6 8 5 15 9 16 5 7 0 0 3 2 20 7
"24788" 0 2 2 0 0 3 2 0 2 3 1 4 3 2 0 3 3 6 3 2
"24797" 3 0 7 1 3 3 1 2 2 3 2 1 0 15 1 12 2 5 5 4
"24804" 6 4 1 2 0 0 0 1 1 2 2 2 1 10 1 2 1 6 1 0
"24818" 1 2 2 4 1 4 1 2 5 1 0 3 0 4 2 3 1 2 4 2
"24819" 1 1 1 3 1 3 4 2 1 2 2 0 0 2 0 1 0 0 4 4
"24827" 22 38 39 46 32 26 35 28 34 72 63 27 48 93 5 2 1 3 54 29
"24839" 4 7 1 7 4 2 6 4 4 14 10 14 4 6 0 1 0 0 15 2
"24857" 5 0 14 5 1 1 0 0 1 0 0 1 0 7 0 1 0 0 6 2
"24873" 2 0 1 2 2 2 1 2 2 4 6 5 1 0 0 1 1 4 6 3
"24874" 1 0 6 0 0 0 0 0 1 0 0 1 0 0 2 0 0 1 1 0
"24876" 1 4 13 4 3 1 2 1 2 5 3 2 1 1 0 2 3 1 3 1
"24877" 7 0 7 0 2 0 0 0 1 0 0 3 0 1 0 2 1 0 1 1
"24882" 1 1 5 4 4 2 1 5 1 11 12 3 6 4 2 3 2 0 6 4
"24884" 2 0 2 1 0 6 1 2 5 5 5 4 2 1 0 2 0 1 2 1
"24885" 3 4 5 1 3 7 1 2 6 4 1 6 5 5 0 3 1 2 7 4
"24895" 3 2 3 0 0 2 1 0 1 3 1 0 2 7 1 1 2 1 1 2
"24902" 1 5 2 5 3 0 1 6 1 2 1 5 4 4 0 0 0 1 4 3
"24921" 1 1 0 5 1 0 0 2 4 4 2 1 2 2 0 0 0 0 3 0
"24932" 1 2 2 7 0 1 0 1 1 4 4 2 1 1 3 2 1 4 2 1
"24933" 0 3 0 1 1 2 5 1 5 6 1 5 4 1 0 8 3 9 12 5
"24934" 0 0 0 0 0 0 2 0 0 0 0 2 0 1 1 6 1 2 2 0
"24936" 3 2 7 3 3 3 5 0 6 3 3 6 3 6 0 16 16 15 5 1
"24966" 6 0 7 4 3 1 2 0 1 3 0 2 0 2 0 0 2 0 7 4
"24967" 1 4 4 4 5 11 7 7 11 13 12 18 10 9 1 38 33 38 22 10
"24968" 10 6 18 1 2 9 10 0 6 6 10 4 6 3 0 13 7 10 19 5
"24969" 1 0 0 1 1 4 8 0 1 4 2 4 2 3 0 0 0 0 6 6
"24970" 2 3 1 4 1 2 5 4 5 7 7 8 1 4 0 4 2 4 6 10
"24977" 2 1 2 10 6 6 9 6 7 11 2 11 16 3 0 13 9 5 25 7
"24978" 1 1 0 8 1 2 6 3 6 11 11 2 4 3 0 0 3 1 5 2
"24980" 4 0 3 1 1 2 2 1 4 3 3 3 3 0 1 5 3 0 6 3
"24997" 1 4 0 0 0 0 0 3 0 0 0 0 0 0 0 1 3 2 3 1
"250" 0 2 0 1 3 2 3 0 4 2 8 1 1 1 0 0 0 0 3 7
"25012" 0 1 0 3 1 4 1 0 0 2 2 1 2 3 0 0 0 0 3 0
"25030" 1 2 0 0 5 12 9 10 7 4 1 7 5 9 0 0 0 1 11 5
"25042" 5 0 2 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0
"25051" 0 0 1 1 0 0 0 3 0 0 4 1 1 2 0 0 4 0 3 2
"25058" 0 0 0 1 2 2 1 3 0 3 1 4 2 0 0 2 1 0 5 6
"25059" 3 4 0 4 2 4 3 1 3 5 2 5 3 2 0 1 0 3 9 5
"25060" 3 3 3 2 1 5 4 1 4 2 2 1 2 1 0 1 2 3 20 6
"25068" 1 3 5 1 4 11 9 7 11 7 8 7 5 4 0 3 4 2 29 11
"25078" 0 6 0 0 0 0 0 0 0 0 4 1 1 5 0 0 0 0 0 1
"25086" 10 9 10 5 1 4 5 4 3 7 9 5 3 21 3 1 0 2 5 3
"251" 0 3 0 0 2 0 5 1 6 5 8 5 2 0 0 0 0 0 6 2
"2510" 8 0 11 0 1 0 5 0 2 2 2 1 3 0 0 0 0 4 4 4
"25102" 1 10 0 10 1 1 6 4 4 11 6 6 4 9 2 0 0 0 5 2
"25103" 7 2 8 2 9 6 1 2 7 6 2 3 4 2 2 7 7 11 7 1
"25153" 0 2 0 0 2 8 9 5 8 9 2 6 0 0 2 0 0 0 11 6
"25161" 0 2 0 2 0 0 0 0 3 5 1 3 2 0 0 0 2 1 8 6
"25197" 0 4 0 2 0 0 0 0 0 6 5 1 1 2 0 0 0 0 0 0
"25198" 3 16 0 9 4 6 6 3 9 4 2 8 3 1 2 19 12 17 16 5
"25199" 44 5 64 2 5 5 4 2 3 2 5 4 4 2 0 27 10 28 8 5
"2521" 56 19 86 11 3 5 14 3 7 14 11 2 9 0 4 37 38 34 14 6
"25210" 2 4 0 0 0 9 2 1 4 2 1 1 4 2 0 1 2 2 9 1
"25225" 5 4 18 2 1 7 6 1 9 7 8 8 11 7 2 6 6 8 8 6
"25227" 15 5 5 4 4 3 3 1 5 6 12 3 2 11 2 6 2 1 5 0
"2524" 1 3 0 3 0 1 0 0 0 3 2 1 6 2 0 3 3 5 5 5
"25253" 1 2 3 3 3 3 7 3 4 5 4 7 2 12 0 2 1 1 8 6
"2526" 5 8 10 8 7 23 14 11 16 21 9 27 11 4 0 57 64 72 41 29
"25267" 2 0 1 2 1 6 1 0 6 2 3 2 1 0 0 5 4 2 10 2
"25268" 0 4 0 4 1 0 0 0 1 1 0 3 1 0 0 1 0 0 3 1
"25269" 4 5 4 3 2 12 6 9 9 8 7 9 9 2 2 26 10 13 18 23
"2527" 35 10 59 7 6 13 10 4 8 14 11 11 4 6 6 28 14 16 24 15
"25287" 3 1 3 2 2 3 2 2 4 2 10 2 5 5 0 0 0 1 1 1
"25288" 0 0 0 1 1 2 0 1 1 2 1 4 3 3 1 0 0 0 1 1
"25330" 0 0 2 3 0 2 3 0 0 0 0 1 2 0 1 0 0 0 0 0
"25332" 4 0 5 0 1 1 2 1 1 0 2 1 2 0 2 1 3 11 4 4
"25333" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 4 4 1 1 1 1
"25344" 3 2 10 0 0 0 0 1 0 1 2 1 1 0 0 5 5 3 3 3
"25350" 3 1 1 4 3 14 12 7 6 11 11 9 11 3 0 4 2 2 19 9
"2536" 0 0 2 0 0 0 1 2 0 1 0 0 2 0 0 0 4 4 4 0
"25365" 5 3 4 8 4 11 8 4 10 9 3 11 8 5 0 1 0 2 12 5
"2538" 15 1 23 2 1 9 6 5 6 2 7 7 15 5 1 25 14 29 13 3
"25383" 0 1 3 1 2 2 1 3 3 2 3 4 3 0 0 0 0 4 4 5
"25387" 11 1 19 2 3 0 1 0 1 4 1 1 0 1 0 4 4 4 3 0
"25390" 3 0 6 0 2 1 4 3 4 7 8 3 0 5 0 5 1 2 3 4
"25391" 0 2 1 0 0 4 5 3 0 1 0 1 4 1 0 0 0 0 4 2
"25402" 12 3 12 0 1 3 2 0 2 3 2 5 1 0 0 6 2 2 5 1
"25409" 4 4 5 5 0 1 0 0 3 2 6 3 1 0 0 4 2 7 10 2
"25415" 2 4 2 1 4 8 3 4 4 0 2 8 3 1 1 0 0 0 10 6
"25417" 0 0 2 0 1 0 0 1 0 1 0 1 1 0 0 5 4 1 3 0
"25419" 1 3 2 4 5 2 2 1 4 2 5 3 4 7 0 0 0 0 3 4
"25421" 0 3 0 1 0 1 1 0 2 3 3 0 1 2 1 5 0 0 2 2
"25461" 8 8 2 3 6 14 8 9 13 14 10 22 14 9 1 3 4 6 21 27
"25467" 1 0 0 4 0 5 1 0 1 2 0 0 2 0 0 0 0 1 0 2
"25480" 1 1 1 2 1 0 2 2 3 2 2 6 1 3 1 0 1 0 8 0
"25481" 6 3 7 3 5 0 6 3 5 4 7 3 5 2 0 0 2 4 6 5
"25486" 0 1 0 0 1 1 0 0 2 3 2 1 5 3 1 0 0 1 3 2
"25519" 29 14 58 16 20 68 48 32 44 67 50 74 24 27 8 158 127 162 120 76
"25522" 14 4 5 4 4 7 3 5 7 8 11 0 10 13 0 0 1 0 10 3
"25526" 7 1 17 0 2 0 0 1 3 0 2 3 3 10 1 3 0 0 3 10
"25532" 3 2 13 5 12 14 11 12 25 27 28 14 19 22 3 2 1 1 36 16
"25539" 5 2 7 7 9 9 11 4 9 10 11 13 10 4 5 17 31 26 23 10
"25540" 1 5 12 5 8 15 10 13 5 12 14 9 11 1 0 0 2 0 40 23
"25543" 6 9 7 3 4 3 4 3 6 5 11 7 5 12 2 0 0 0 6 5
"25545" 20 12 46 12 12 29 22 22 17 19 23 22 19 20 8 24 28 37 40 21
"25561" 2 3 2 6 7 5 7 3 3 2 3 5 3 6 1 10 2 7 7 1
"25562" 2 0 0 1 1 1 2 3 1 2 1 1 3 1 0 0 0 0 11 2
"25563" 12 2 8 3 2 3 2 4 5 8 6 4 4 7 2 2 5 6 7 3
"25564" 6 3 12 5 5 2 2 1 6 12 8 6 6 6 2 1 0 1 9 1
"25565" 1 3 1 3 3 7 3 1 1 8 7 2 5 5 1 1 0 1 12 4
"25566" 8 5 9 6 8 16 5 6 8 18 9 20 13 7 3 33 29 37 22 13
